Designator,Mid X,Mid Y,Rotation,Layer
BT1,110.35,-54.0,180.0,bottom
D1,106.25,-74.25,0.0,top
D10,151.25,-74.25,0.0,top
D11,106.25,-79.25,0.0,top
D12,111.25,-79.25,0.0,top
D13,116.25,-79.25,0.0,top
D14,121.25,-79.25,0.0,top
D15,126.25,-79.25,0.0,top
D16,131.25,-79.25,0.0,top
D17,136.25,-79.25,0.0,top
D18,141.25,-79.25,0.0,top
D19,146.25,-79.25,0.0,top
D2,111.25,-74.25,0.0,top
D20,151.25,-79.25,0.0,top
D21,106.25,-84.25,0.0,top
D22,111.25,-84.25,0.0,top
D23,116.25,-84.25,0.0,top
D24,121.25,-84.25,0.0,top
D25,126.25,-84.25,0.0,top
D26,131.25,-84.25,0.0,top
D27,136.25,-84.25,0.0,top
D28,141.25,-84.25,0.0,top
D29,146.25,-84.25,0.0,top
D3,116.25,-74.25,0.0,top
D30,151.25,-84.25,0.0,top
D31,72.0,-110.0,0.0,top
D32,72.0025,-112.5,0.0,top
D33,72.0,-115.0,0.0,top
D34,72.0,-117.5,0.0,top
D35,72.0,-120.0,0.0,top
D36,72.0,-122.5,0.0,top
D4,121.25,-74.25,0.0,top
D5,126.25,-74.25,0.0,top
D6,131.25,-74.25,0.0,top
D7,136.25,-74.25,0.0,top
D8,141.25,-74.25,0.0,top
D9,146.25,-74.25,0.0,top
R1,106.25,-71.75,0.0,top
R10,151.25,-71.75,0.0,top
R11,106.25,-76.75,0.0,top
R12,111.25,-76.75,0.0,top
R13,116.25,-76.75,0.0,top
R14,121.25,-76.75,0.0,top
R15,126.25,-76.75,0.0,top
R16,131.25,-76.75,0.0,top
R17,136.25,-76.75,0.0,top
R18,141.25,-76.75,0.0,top
R19,146.25,-76.75,0.0,top
R2,111.25,-71.75,0.0,top
R20,151.25,-76.75,0.0,top
R21,106.25,-81.75,0.0,top
R22,111.25,-81.75,0.0,top
R23,116.25,-81.75,0.0,top
R24,121.25,-81.75,0.0,top
R25,126.25,-81.75,0.0,top
R26,131.25,-81.75,0.0,top
R27,136.25,-81.75,0.0,top
R28,141.25,-81.75,0.0,top
R29,146.25,-81.75,0.0,top
R3,116.25,-71.75,0.0,top
R30,151.25,-81.75,0.0,top
R31,76.75,-110.0,180.0,top
R32,76.75,-112.5,180.0,top
R33,76.75,-115.0,180.0,top
R34,76.75,-117.5,180.0,top
R35,76.75,-120.0,180.0,top
R36,76.75,-122.5,180.0,top
R4,121.25,-71.75,0.0,top
R5,126.25,-71.75,0.0,top
R6,131.25,-71.75,0.0,top
R7,136.25,-71.75,0.0,top
R8,141.25,-71.75,0.0,top
R9,146.25,-71.75,0.0,top
SW1,92.7,-116.8825,90.0,top
